x	y	z
2.65	17.56	-11.8253884237
3.01	17.04	-55.3048464688
3.05	16.39	-90.0
3.05	16.03	-90.0
3.05	15.68	-90.0
3.05	15.32	-90.0
3.05	14.97	-90.0
3.05	14.61	-90.0
2.71	13.86	-155.502490628
2.37	13.83	-163.907200824
2.0	13.8	179.210541191
1.65	13.67	-169.46613819
1.45	13.25	-98.8806591505
1.45	12.94	-91.8016323306
1.45	12.6	-89.3921100302
1.45	12.27	-89.3839400916
1.45	11.94	-89.375547565
1.65	11.18	-34.2223846353
1.96	11.08	-26.8078284508
2.28	11.02	-13.8084850472
2.52	10.51	-84.559667969
2.51	10.14	-84.559667969
2.49	9.77	-91.8279682443
2.47	9.41	-92.7407905942
1.88	8.75	-153.434948823
1.55	8.61	-162.34987578
1.46	8.15	-80.2175929682
1.47	7.83	-80.2175929682
1.47	7.5	-90.9877603996
1.48	7.19	-91.4365836356
1.48	6.85	-89.1918059328
1.48	6.51	-89.6407835184
1.24	6.09	-142.907162703
0.9	5.96	-153.014693918
0.55	5.93	-163.072486936
0.22	5.89	-179.915794632
0.03	5.45	-86.9872124958
0.02	5.12	-86.9872124958
0.01	4.78	-92.1397261406
-0.0	4.44	-92.1397261406
-0.01	4.09	-92.1397261406
-0.02	3.75	-92.1397261406
-0.03	3.41	-92.1397261406
0.06	1.75	-92.0279795781
0.05	1.31	-92.0279795781
0.03	0.88	-92.0279795781
0.02	0.44	-92.0279795781
0.0	0.0	-92.0279795781
